city,hex,auc_inf,auc_cap
amsterdam,881969c99dfffff,4.0426248881627,30.12847530776293
amsterdam,881969c8a5fffff,7.473684694089462,15.428635982438124
amsterdam,881969c999fffff,4.406695285799894,12.361646574148555
amsterdam,88196826b9fffff,1.0346617944236465,37.67911481510103
amsterdam,88196826bdfffff,1.7056375089553037,1.7056375089553037
amsterdam,881969c9abfffff,4.715231319585121,15.32183303738334
amsterdam,881969c987fffff,2.312087323300655,31.23276802671415
amsterdam,881969c8adfffff,2.891219116511643,34.71102426990628
amsterdam,88196826a3fffff,0.37745652878264035,3.029106958232194
amsterdam,88196826a7fffff,5.018617865999231,7.670268295448786
amsterdam,881969c9d3fffff,3.499456156113039,58.67165240529383
amsterdam,881969c8a9fffff,2.4725893928694926,15.73084154011726
amsterdam,8819682683fffff,1.1295196676531094,6.432820526552218
amsterdam,881968269dfffff,0.6972695386604228,0.6972695386604228
amsterdam,881969c9d7fffff,8.150866093828048,102.9894743072015
amsterdam,881969c98bfffff,4.889351243169145,41.82707485891708
amsterdam,881968241bfffff,7.038423307015764,14.993374595364426
amsterdam,881969c981fffff,4.856664659808898,64.84777507915105
amsterdam,88196826abfffff,1.1622144531921883,3.8138648826417425
amsterdam,881969c9dbfffff,5.237466781161075,39.49181321672544
amsterdam,88196826a1fffff,0.0,13.258252147247767
amsterdam,88196826a5fffff,1.6635734090182064,28.180077703513742
amsterdam,8819682687fffff,0.0,0.0
amsterdam,881969c9adfffff,3.3729288133942124,29.889433107889747
amsterdam,881969c9a9fffff,2.4447778420980675,89.94924201393333
amsterdam,881969c985fffff,1.3148392555158266,11.558991069187213
amsterdam,8819682419fffff,2.1069489622060833,7.41024982110519
amsterdam,88196826d3fffff,0.40812878372078565,11.014730501518999
amsterdam,881969c9d5fffff,3.241492780505517,32.1732791546537
amsterdam,881969c9d1fffff,5.797261381606267,64.1284903182156
amsterdam,8819682685fffff,0.5815582655130286,0.5815582655130286
amsterdam,881969c989fffff,2.867461203611009,31.810260177528402
amsterdam,881969c98dfffff,7.473187651822852,59.83857002731723
amsterdam,88196826d7fffff,0.11825717038227208,10.724858888180488
amsterdam,881969c9e3fffff,3.296966590783095,24.510170026379527
amsterdam,881969c9d9fffff,0.1409791901547291,16.050881766852047
amsterdam,8819682457fffff,0.2956521214364045,2.9473025508859587
amsterdam,881968241dfffff,1.5508719771793689,30.137675240900748
