hex,auc_all,auc_strict,city
881ec9ce39fffff,1.541806565423225,1.3923690312883508,istanbul
881ec9ce21fffff,10.83502184803491,10.733915982712547,istanbul
881ec9ce2bfffff,9.29566027706595,9.292739875107555,istanbul
881ec9ce25fffff,6.127721448901583,5.987093342572498,istanbul
881ec9cf53fffff,2.456786886120205,2.456786886120205,istanbul
881ec911d3fffff,14.534198776433461,17.449445971004998,istanbul
881ec911d7fffff,6.692356176785799,7.910092852286394,istanbul
881ec910adfffff,6.471529979898545,7.052544632558129,istanbul
881ec9ccd1fffff,1.980957562488419,3.4029474276718967,istanbul
881ec91819fffff,6.401383403768217,5.697693623680965,istanbul
881ec9cecdfffff,1.2950764119629714,2.288844665036541,istanbul
881ec9cec3fffff,6.2261465809298455,33.61918526991598,istanbul
881ec9cec1fffff,5.29231423986775,4.4600518354790575,istanbul
881ec9ce11fffff,3.0028791240909958,4.320750518953579,istanbul
881ec9ce13fffff,5.9934204890181535,17.53845101448495,istanbul
881ec9ce17fffff,9.851283577683018,7.810596810175562,istanbul
881ec9cee9fffff,11.239051617428975,11.013528011344588,istanbul
881ec9118bfffff,6.806238789270345,25.001527330706605,istanbul
881ec911d5fffff,11.854504382986057,17.24082657692682,istanbul
881ec91183fffff,15.210212158540017,13.863527284275948,istanbul
881ec9119dfffff,12.4047849849539,17.401780336265464,istanbul
881ec911cdfffff,9.712949416669888,13.646772556861348,istanbul
881ec91027fffff,18.682263483257312,22.640191291451092,istanbul
881ec91113fffff,8.08142337268363,7.157100731612638,istanbul
881ec911c5fffff,13.587358098299983,8.883661898146228,istanbul
881ec91ab9fffff,16.07688326815413,17.5915761407732,istanbul
881ec91a87fffff,8.98501484208257,15.008909510943518,istanbul
881ec91ac3fffff,9.636649482251016,8.7799969986225,istanbul
881ec91ac1fffff,22.674602115324287,23.1176385814462,istanbul
881ec911c1fffff,12.446707350646028,30.929014884715976,istanbul
881ec911c3fffff,11.076246830035942,11.867062686580171,istanbul
881ec9111bfffff,9.876746253779524,11.723400822010461,istanbul
881ec91181fffff,14.493291071903231,16.00507800573593,istanbul
881ec91197fffff,13.547416549798363,12.899602406552345,istanbul
881ec91195fffff,8.183663421163647,12.396167577994882,istanbul
881ec911b9fffff,8.352726021556848,8.81639729437628,istanbul
881ec911dbfffff,6.2484715509707485,3.837673716438375,istanbul
881ec910e5fffff,11.517565337929346,13.254664152423171,istanbul
881ec91a8bfffff,5.346760357777851,6.409452229208943,istanbul
881ec91ad7fffff,9.419333413140304,10.818051405446608,istanbul
881ec91a81fffff,13.643883514019658,18.233687839703634,istanbul
881ec9ce9dfffff,15.193570869373763,15.193570869373763,istanbul
881ec9ce83fffff,11.58074250880641,15.79442395503664,istanbul
881ec9ce8bfffff,5.172893178496092,7.281218401597496,istanbul
881ec9ced7fffff,11.645603335931808,11.744655850825922,istanbul
881ec9ced5fffff,9.716801234357362,14.280224887937653,istanbul
881ec9ce99fffff,11.282650246658676,12.911176225277773,istanbul
881ec911bbfffff,8.09263282871967,10.181085176010582,istanbul
881ec91ad1fffff,7.121631981223779,5.693325489400802,istanbul
881ec91a99fffff,9.737930940679723,9.271695516913889,istanbul
881ec910a5fffff,4.745236928073458,7.2611123227706615,istanbul
881ec9119bfffff,8.479083091242536,6.943139153667898,istanbul
881ec911e5fffff,8.910985573170459,7.638606479619351,istanbul
881ec911e7fffff,11.149869197616503,12.657460067312103,istanbul
881ec91adbfffff,15.864552354684323,15.22242513988629,istanbul
881ec91ad9fffff,11.94636271422767,11.056744635488203,istanbul
881ec91133fffff,14.426431177083344,14.321787676780783,istanbul
881ec911d9fffff,8.128417820712118,7.5186837722037145,istanbul
881ec9c4a1fffff,5.1427280180340835,2.1175149234639137,istanbul
881ec9c4a3fffff,2.7814876851267556,3.3104725834580915,istanbul
881ec9c4a7fffff,2.6603643817219735,2.6603643817219735,istanbul
881ec91a49fffff,4.4499665078166695,3.783782489033346,istanbul
881ec91a4bfffff,8.85567006065286,6.8811185540414685,istanbul
881ec91a41fffff,4.822532746520582,0.0,istanbul
881ec91a43fffff,10.524297326942763,18.04608520217397,istanbul
881ec9c4abfffff,9.21513156035686,21.963447226194422,istanbul
881ec91a09fffff,7.939251070972979,2.79039535340503,istanbul
881ec91167fffff,9.892000056671467,19.989006533876296,istanbul
881ec91163fffff,12.139065809737918,13.758441322618467,istanbul
881ec9cc1bfffff,24.764325936898892,11.10443397011543,istanbul
881ec9cc11fffff,0.4936372645770695,0.0,istanbul
881ec9cea5fffff,4.80240687856446,5.7841201013622845,istanbul
881ec9ceadfffff,3.620115490125425,3.4042376382867303,istanbul
881ec9cee7fffff,19.636589552225157,15.79081306224253,istanbul
881ec9cea9fffff,6.374965163493671,6.15788386077857,istanbul
881ec9cee1fffff,5.850337719826988,5.850337719826988,istanbul
881ec9ceebfffff,9.912083020781962,7.303284046850993,istanbul
881ec9cec5fffff,10.826530003596059,8.53019628211353,istanbul
881ec9cec9fffff,0.0,0.0,istanbul
881ec9c507fffff,9.334375412299881,2.9519391471608345,istanbul
881ec91851fffff,10.481913861149163,8.771760488369239,istanbul
881ec91859fffff,5.510962228642202,6.272712209324971,istanbul
