city,hex,auc_flood
amsterdam,881968245dfffff,0.0
amsterdam,881969c933fffff,0.0
amsterdam,88196826d9fffff,0.0
amsterdam,881969c937fffff,0.0
amsterdam,881969c913fffff,0.0
amsterdam,881969c93bfffff,0.0
amsterdam,881969c917fffff,0.0
amsterdam,881969c931fffff,0.0
amsterdam,881969525bfffff,0.0
amsterdam,881969cd29fffff,0.0
amsterdam,881969c8b9fffff,0.0
amsterdam,8819695257fffff,0.0
amsterdam,88196824c7fffff,0.0
amsterdam,8819682489fffff,0.0
amsterdam,881969c8e7fffff,0.0
amsterdam,881968248dfffff,0.0
phoenix,8829b6d313fffff,0.0
phoenix,8829b6d209fffff,0.0
phoenix,8829b6d201fffff,0.0
phoenix,8829b6d35bfffff,0.0
phoenix,8829b6d267fffff,0.0
phoenix,8829b6d263fffff,0.0
phoenix,8829b6d359fffff,0.0
phoenix,8829b6d20dfffff,0.0
phoenix,8829b6d20bfffff,0.0
phoenix,8829b6d257fffff,0.0
phoenix,8829b6d66bfffff,0.0
phoenix,8848e96d97fffff,0.0
phoenix,8848eba4ebfffff,0.0
phoenix,8829b6c33bfffff,0.0
phoenix,8829b6c331fffff,0.0
phoenix,8829b6d001fffff,0.0
phoenix,8829b6d8a9fffff,1.043081283569336e-07
phoenix,8829b6c13bfffff,1.043081283569336e-07
phoenix,8829b6d0e7fffff,0.0
phoenix,8848e9698bfffff,0.0
phoenix,8829b6d03bfffff,0.0
phoenix,8829b6c2b9fffff,0.0
phoenix,8848eba48bfffff,0.0
phoenix,8848eba489fffff,0.0
phoenix,8829b6d9dbfffff,0.0
phoenix,8829b6d229fffff,0.0
phoenix,8829b6da45fffff,2.60770320892334e-08
phoenix,8829b6d9d9fffff,0.0
phoenix,8829b6c327fffff,0.0
phoenix,8829b6c065fffff,0.0
phoenix,8829b6d335fffff,0.0
phoenix,8848ebb481fffff,0.0
phoenix,8848eba6c7fffff,0.0
phoenix,8848eba6c3fffff,0.0
phoenix,8848eba481fffff,0.0
phoenix,8829b6c247fffff,0.0
phoenix,8829b6c323fffff,2.086162567138672e-07
phoenix,8829b6d305fffff,2.086162567138672e-07
phoenix,8829b6c365fffff,0.0
phoenix,8829b6d1e1fffff,0.0
phoenix,8829b6d109fffff,0.0
phoenix,8829b6d10bfffff,0.0
phoenix,8829b6d053fffff,0.0
phoenix,8829b6d055fffff,0.0
phoenix,8829b6c201fffff,0.0
phoenix,8829b6c111fffff,0.0
phoenix,8829b6d881fffff,0.0
phoenix,8848eba5dbfffff,0.0
phoenix,8848eba4e7fffff,0.0
phoenix,8829b6d1a3fffff,0.0
phoenix,8829b6d191fffff,0.0
phoenix,8829b6d199fffff,0.0
phoenix,8829b6d1c7fffff,0.0
phoenix,8829b6d28bfffff,0.0
phoenix,8848eba681fffff,0.0
phoenix,8829b6c35dfffff,0.0
phoenix,8829b6c34bfffff,0.0
phoenix,8829b6c0e1fffff,0.0
phoenix,8829b6d003fffff,0.0
phoenix,8848ebb4b1fffff,0.0
phoenix,8829b6c0e9fffff,0.0
phoenix,8829b6d1b7fffff,0.0
phoenix,8829b6d1b5fffff,0.0
phoenix,8829b6d8dbfffff,0.0
phoenix,8829b6d8d3fffff,2.950279395762582e-07
phoenix,8829b6d8a1fffff,0.0
phoenix,8829b6d119fffff,0.0
phoenix,8848ebb483fffff,1.475139697881291e-07
phoenix,8829b6c055fffff,0.0
phoenix,8829b6d139fffff,0.0
phoenix,8829b6d131fffff,0.0
phoenix,8829b6d13dfffff,0.0
phoenix,8829b6d107fffff,0.0
phoenix,8829b6da49fffff,0.0
phoenix,8829b6d1bdfffff,0.0
phoenix,8829b6c017fffff,0.0
phoenix,8829b6c145fffff,0.0
phoenix,8829b6d0a5fffff,0.0
phoenix,8829b6d0adfffff,0.0
phoenix,8829b6c03bfffff,0.0
phoenix,8829b6d1d3fffff,0.0
phoenix,8848eba4d5fffff,0.0
phoenix,8829b6c05dfffff,0.0
phoenix,8829b6d8c1fffff,0.0
phoenix,8829b6d8cbfffff,0.0
phoenix,8829b6d9d1fffff,0.0
phoenix,8829b6da53fffff,0.0
phoenix,8829b6d81bfffff,0.0
phoenix,8829b6dab3fffff,0.0
phoenix,8829b6dab7fffff,0.0
phoenix,8848e96d85fffff,0.0
phoenix,8848e96d87fffff,0.0
phoenix,8829b6d1cbfffff,0.0
phoenix,8829b6da4bfffff,0.0
phoenix,8829b6c04dfffff,0.0
phoenix,8829b6d999fffff,0.0
phoenix,8829b6d9d3fffff,0.0
phoenix,8829b6c109fffff,0.0
phoenix,8829b6c069fffff,0.0
phoenix,8829b6c301fffff,7.375698489406456e-08
phoenix,8829b6c30dfffff,0.0
phoenix,8829b6d333fffff,0.0
phoenix,8829b6d331fffff,0.0
phoenix,8829b6d1ddfffff,0.0
phoenix,8829b6d343fffff,0.0
phoenix,8829b6d525fffff,0.0
phoenix,8829b6d325fffff,0.0
phoenix,8829b6d2d3fffff,0.0
phoenix,8829b6d129fffff,0.0
phoenix,8829b6d2d5fffff,0.0
phoenix,8829b6d2d1fffff,0.0
